TAG	VALOR_TAG
title	Apresentação das Unidades de serviço Alimentar Bar dos Congregados - Br
topic	Acção Social. Bar dos Congregad
interviewee	Sr. José Pereir
role	responsável do Ba
interviewer	Luciana Silva
university	Universidade do Minho
journal	UMdicas
issue	75
date	Dezembro/2009
title	Atleta hoje, um médico amanh
topic	Desporto. conhecer um pouco melhor este jovem lutador que irá representar a UMinho no I Campeonato Europeu Universitário de Taekwon
interviewee	Rui Braganç
role	aluno do 1º ano de medicina e atleta TUTORU
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	76
date	Janeiro/2010
title	SASUM alcançam dupla certificaç
topic	Acção Social. ISO 220
interviewee	Carlos Silva
role	cargo de administrador para a Acção Soci
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	76
date	Janeiro/2010
title	Entrevista ao Prof. Doutor António M. Cunh
topic	Academia. anseios, visões e projectos para o futuro da Academi
interviewee	António M. Cunh
role	Reitor da UMinho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	77
date	Fevereiro/2010
title	Sector de Economato e Aprovisionamento dos SASUM
topic	Academia. Sector de Economato e Aprovisionamento dos SASUM
interviewee	José Saavedr
role	responsável do Sector de Economato e Aprovisionamento dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	77
date	Fevereiro/2010
title	Jorge Castro, o homem do leme
topic	Desporto. canoagem
interviewee	Jorge Castro
role	aluno do 2º ano de Psicologia, uma das grandes figuras da canoagem naciona
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	77
date	Fevereiro/2010
title	Entrevista com Luís Rodrigues recentemente eleito Presidente da AAU
topic	Academia. direcção da AA
interviewee	Luís Miguel Rodrigue
role	presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	77
date	Fevereiro/2010
title	ARCUM, sonhos, projectos e vivência
topic	Cultura. Associação Recreativa e Cultural Universitária do Minho (ARC
interviewee	Nuno Pinto
role	presidente da direcção da ARC
interviewer	João Dia
university	Universidade do Minho
journal	UMdicas
issue	78
date	Fevereiro/2010
title	Apresentação das Unidades de serviço Alimentar Cantina de Gualtar- Br
topic	Acção Social. Cantina de Gualt
interviewee	Sr. Abílio Fernande
role	responsável desta unidade alimenta
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	78
date	Fevereiro/2010
title	Sector de Recursos Humanos dos SASUM
topic	Academia. SRH
interviewee	Carla Caçot
role	responsável do Sector de Recursos Humano
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	78
date	Fevereiro/2010
title	Pedro Póvoa O Olímpico da UMin
topic	Desporto. Taekwondo nacional e da UMinho
interviewee	Pedro Póvo
role	aluno do 2º ano de Psicologi
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	79
date	Março/201
title	Apresentação das Unidades de serviço Alimentar Cantina de Sta Tecla- Br
topic	Acção Social. Cantina de Sta Tec
interviewee	Sr. Manuel Rocha
role	responsável pela Cantina de Sta Tecl
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	79
date	Março/201
title	Fiscalização e Manutenção dos S
topic	Ação Social. pormenores sobre o S
interviewee	Carlos Vieira
role	responsável do Sector de Fiscalização e Manutenção dos 
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	79
date	Março/201
title	António Paisana Provedor do Estudante da Universidade do Minh
topic	Academia. Ser Provedor do Estudante
interviewee	Prof. António Maria Vieira Paisan
role	Provedor do Estudante da Universidade do Minho
interviewer	José Carlos Bragan�
university	Universidade do Minho
journal	UMdicas
issue	79
date	Março/201
title	NITERUM - a união de forças Pró Energias Renová
topic	Academia. NITERUM e TER
interviewee	Renato Morgado e José Carlos Teixeir
role	membros da Direcção do NITER
interviewer	José Carlos Bragan�
university	Universidade do Minho
journal	UMdicas
issue	79
date	Março/201
title	Elsa The European Law Students' Association
topic	Academia. ELSA
interviewee	Estudantes de Direito
role	ELSA
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	80
date	Abril/2010
title	Apresentação das Unidades de serviço Alimentar - Grill de Gual
topic	Acção Social. o Gri
interviewee	Sr. Carlos Cerqueira
role	responsável do Gril
interviewer	Luciana Silva
university	Universidade do Minho
journal	UMdicas
issue	80
date	Abril/2010
title	Sector de Informática dos SASU
topic	Ação Social. pormenores sobre o SI, como é o seu dia-a-
interviewee	José Pedro Ferreir
role	responsável do Sector de Informática dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	80
date	Abril/2010
title	Sector de Informática dos SASU
topic	Ação Social. pormenores sobre o SI, como é o seu dia-a-
interviewee	José Pedro Ferreir
role	responsável do Sector de Informática dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	80
date	Abril/2010
title	Dinamismo. O segredo da Escola de Direito
topic	Academia. escola de Direito
interviewee	Prof. Dr. Heinrich Ewald Horster
role	presidente da escola de Direito
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	80
date	Abril/2010
title	Dinamismo. O segredo da Escola de Direito
topic	Academia. escola de Direito
interviewee	Prof. Dr. Heinrich Ewald Horster
role	presidente da escola de Direito
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	80
date	Abril/2010
title	Os estudantes est�o todos os dias em primeiro lugar
topic	Academia. balanço dos primeiros meses à frente do Departamento Pedagóg
interviewee	Andreia Ferreira
role	Vice-presidente do Departamento Pedagógico AAU
interviewer	José Carlos Bragan�
university	Universidade do Minho
journal	UMdicas
issue	80
date	Abril/2010
title	Os estudantes est�o todos os dias em primeiro lugar
topic	Academia. balanço dos primeiros meses à frente do Departamento Pedagóg
interviewee	Andreia Ferreira
role	Vice-presidente do Departamento Pedagógico AAU
interviewer	José Carlos Bragan�
university	Universidade do Minho
journal	UMdicas
issue	80
date	Abril/2010
title	NEMUM e o Desporto
topic	Desporto. desporto no NEMUM
interviewee	Ricardo Jorge Fernandes e Joel Monteiro
role	os responsávei
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	80
date	Abril/2010
title	NEMUM e o Desporto
topic	Desporto. desporto no NEMUM
interviewee	Ricardo Jorge Fernandes e Joel Monteiro
role	os responsávei
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	81
date	Maio/2010
title	Apresentação das Unidades de serviço Alimentar - Bar de Engenharia II – Guim
topic	Acção Social. o Bar de Engenharia 
interviewee	Sr. Jorge Rodrigues
role	responsável do Ba
interviewer	Luciana Silva
university	Universidade do Minho
journal	UMdicas
issue	81
date	Maio/2010
title	Apresentação das Unidades de serviço Alimentar - Bar de Engenharia II – Guim
topic	Acção Social. o Bar de Engenharia 
interviewee	Sr. Jorge Rodrigues
role	responsável do Ba
interviewer	Luciana Silva
university	Universidade do Minho
journal	UMdicas
issue	81
date	Maio/2010
title	Sector de Alojamento dos SASUM
topic	Acção Social. Sector de Alojamen
interviewee	Ana Gabriela Osóri
role	responsável do Sector de Alojamento dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	81
date	Maio/2010
title	Sector de Alojamento dos SASUM
topic	Acção Social. Sector de Alojamen
interviewee	Ana Gabriela Osóri
role	responsável do Sector de Alojamento dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	81
date	Maio/2010
title	Entrevista com José F. Mendes, Vice-Reitor da UMinho “Os Campi são duas pequenas cidades que é preciso g
topic	Academia. José F. Mendes, Vice-Reitor da UMinh
interviewee	José F. Mende
role	Vice-reitor para a Infra-estrutura, Inovação e Projectos Especia
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	81
date	Maio/2010
title	Entrevista com José F. Mendes, Vice-Reitor da UMinho “Os Campi são duas pequenas cidades que é preciso g
topic	Academia. José F. Mendes, Vice-Reitor da UMinh
interviewee	José F. Mende
role	Vice-reitor para a Infra-estrutura, Inovação e Projectos Especia
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	81
date	Maio/2010
title	Humanismo da Escola de Arquitectura permite fazer mais e melhor
topic	Academia. Escola de Arquitectura
interviewee	Paulo Cruz
role	docente da Universidade do Minho
interviewer	Luciana Silva
university	Universidade do Minho
journal	UMdicas
issue	81
date	Maio/2010
title	Humanismo da Escola de Arquitectura permite fazer mais e melhor
topic	Academia. Escola de Arquitectura
interviewee	Paulo Cruz
role	docente da Universidade do Minho
interviewer	Luciana Silva
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	O Departamento Alimentar tem evolu�do muito
topic	Acção Social. Bar da Residência de Santa Te
interviewee	Victor Peixoto
role	responsável pelo Bar da Residência de Santa Tec
interviewer	Maria João Quinta
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	O Departamento Alimentar tem evolu�do muito
topic	Acção Social. Bar da Residência de Santa Te
interviewee	Victor Peixoto
role	responsável pelo Bar da Residência de Santa Tec
interviewer	Maria João Quinta
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	Sector de Bolsas dos SASUM
topic	Acção Social. mais pormenores sobre o 
interviewee	Ana Paula Machado
role	responsável do Sector de Bolsas (SB) dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	Sector de Bolsas dos SASUM
topic	Acção Social. mais pormenores sobre o 
interviewee	Ana Paula Machado
role	responsável do Sector de Bolsas (SB) dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	A qualidade da investiga��o � o nosso emblema
topic	Academia. ser presidente de uma escola
interviewee	Estelita Rodrigues Vaz
role	presidente da Escola
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	A qualidade da investiga��o � o nosso emblema
topic	Academia. ser presidente de uma escola
interviewee	Estelita Rodrigues Vaz
role	presidente da Escola
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	Mestres no Troféu Reito
topic	Academia. mestrado a participar no Troféu Reito
interviewee	João Sineir
role	aluno de mestrado
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	Mestres no Troféu Reito
topic	Academia. mestrado a participar no Troféu Reito
interviewee	João Sineir
role	aluno de mestrado
interviewer	Michael Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	Dep. Saídas Profissionais e Empreendedorismo da AAU
topic	Academia. Departamento de Saídas Profissionais e Empreendedorimo da AAU
interviewee	Eduardo Couturela Pereira
role	aluno de Administração Públ
interviewer	Ana Paula Magalhãe
university	Universidade do Minho
journal	UMdicas
issue	82
date	Junho/2010
title	Dep. Saídas Profissionais e Empreendedorismo da AAU
topic	Academia. Departamento de Saídas Profissionais e Empreendedorimo da AAU
interviewee	Eduardo Couturela Pereira
role	aluno de Administração Públ
interviewer	Ana Paula Magalhãe
university	Universidade do Minho
journal	UMdicas
issue	83
date	Julho/2010
title	Sector de Gestão Técnica e Desportiva do D
topic	Academia. pormenores sobre o GTD
interviewee	Pedro Miguel Dias
role	responsável do Sector de Gestão Técnica e Desportiva do Departamento de Desportivo e Cultural (DDC) dos SA
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	83
date	Julho/2010
title	Sector de Gestão Técnica e Desportiva do D
topic	Academia. pormenores sobre o GTD
interviewee	Pedro Miguel Dias
role	responsável do Sector de Gestão Técnica e Desportiva do Departamento de Desportivo e Cultural (DDC) dos SA
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	83
date	Julho/2010
title	Entrevista com Rui Vieira de Castro, Vice-Reitor da UMinho
topic	Academia. Vice-reitor para a Investigação e Ensi
interviewee	Rui Vieira de Castro
role	Vice-reitor para a Investigação e Ensi
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	83
date	Julho/2010
title	Entrevista com Rui Vieira de Castro, Vice-Reitor da UMinho
topic	Academia. Vice-reitor para a Investigação e Ensi
interviewee	Rui Vieira de Castro
role	Vice-reitor para a Investigação e Ensi
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	83
date	Julho/2010
title	Entrevista à Presidente do Instituto de Letras e Ciências Humanas (ILC
topic	Academia. Instituto de Letras e Ciências Humanas (ILCH
interviewee	Maria Eduarda Keating
role	Presidente do Instituto de Letras e Ciências Humanas (ILCH
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	83
date	Julho/2010
title	Entrevista à Presidente do Instituto de Letras e Ciências Humanas (ILC
topic	Academia. Instituto de Letras e Ciências Humanas (ILCH
interviewee	Maria Eduarda Keating
role	Presidente do Instituto de Letras e Ciências Humanas (ILCH
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	83
date	Julho/2010
title	Luzia Carmo, 34 anos e gestora de loja
topic	Academia. maiores de 23
interviewee	Luzia Carmo
role	gestora de loja
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	83
date	Julho/2010
title	Luzia Carmo, 34 anos e gestora de loja
topic	Academia. maiores de 23
interviewee	Luzia Carmo
role	gestora de loja
interviewer	UMdicas
university	Universidade do Minho
journal	UMdicas
issue	84
date	Setembro/2010
title	SASUM, “a tua família na Universida
topic	Acção Social. conhecer melhor os Serviços de Acção Social da Universidade do Minho (S
interviewee	Eng. Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	84
date	Setembro/2010
title	SASUM, “a tua família na Universida
topic	Acção Social. conhecer melhor os Serviços de Acção Social da Universidade do Minho (S
interviewee	Eng. Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	84
date	Setembro/2010
title	UMinho foi pioneira neste tipo de iniciativas
topic	Academia. o Acolhimento aos novos alunos
interviewee	António Cunha, Andreia Ferreir
role	Reitor da UMinho, Vice-Presidente do Departamento Pedagógico da AAUMinh
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	84
date	Setembro/2010
title	UMinho foi pioneira neste tipo de iniciativas
topic	Academia. o Acolhimento aos novos alunos
interviewee	António Cunha, Andreia Ferreir
role	Reitor da UMinho, Vice-Presidente do Departamento Pedagógico da AAUMinh
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	84
date	Setembro/2010
title	Entrevista à Presidente da Escola Superior de Enfermagem da Universidade do Minh
topic	Academia. Escola Superior de Enfermagem
interviewee	Maria Isabel Gomes de Sousa Lage
role	Presidente da ESSE
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	84
date	Setembro/2010
title	Entrevista à Presidente da Escola Superior de Enfermagem da Universidade do Minh
topic	Academia. Escola Superior de Enfermagem
interviewee	Maria Isabel Gomes de Sousa Lage
role	Presidente da ESSE
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	84
date	Setembro/2010
title	FESTIVAL DE OUTONO PROMOVE CULTURA
topic	Cultura. Festival de Outono
interviewee	Ana Gabriela Macedo
role	presidente do Conselho Cultural da Universidade do Minho
interviewer	João Nogueira Dia
university	Universidade do Minho
journal	UMdicas
issue	84
date	Setembro/2010
title	FESTIVAL DE OUTONO PROMOVE CULTURA
topic	Cultura. Festival de Outono
interviewee	Ana Gabriela Macedo
role	presidente do Conselho Cultural da Universidade do Minho
interviewer	João Nogueira Dia
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	Bar das Residências de Azur�
topic	Acção Social. Bar das Residências de Azu
interviewee	Sílvia Net
role	responsável pelo Bar da Residência de Azur
interviewer	Laura Camacho
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	Bar das Residências de Azur�
topic	Acção Social. Bar das Residências de Azu
interviewee	Sílvia Net
role	responsável pelo Bar da Residência de Azur
interviewer	Laura Camacho
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	Sector da Tesouraria dos SASUM
topic	Acção Social. mais pormenores sobre o 
interviewee	Cristina Sousa
role	responsável do Sector da Tesouraria (ST) dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	Sector da Tesouraria dos SASUM
topic	Acção Social. mais pormenores sobre o 
interviewee	Cristina Sousa
role	responsável do Sector da Tesouraria (ST) dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	O Taekwondo tornou-me mais organizado e disciplinado
topic	Desporto. conhecer um pouco melhor um dos grandes campeões do Taekwondo da UMinh
interviewee	Eduardo Rodrigues
role	Atleta Masculino do Ano da UMinho
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	O Taekwondo tornou-me mais organizado e disciplinado
topic	Desporto. conhecer um pouco melhor um dos grandes campeões do Taekwondo da UMinh
interviewee	Eduardo Rodrigues
role	Atleta Masculino do Ano da UMinho
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	Entrevista com Luís Rodrigues, Presidente da AAU
topic	Academia. presidência da AAU
interviewee	Luís Rodrigue
role	Presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	Entrevista com Luís Rodrigues, Presidente da AAU
topic	Academia. presidência da AAU
interviewee	Luís Rodrigue
role	Presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	Inova��o. A palavra-chave que caracteriza a ECS
topic	Academia. A Escola de Ciências da Saúde (EC
interviewee	Cecília Le�
role	actual presidente da Escola
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	85
date	Outubro/2010
title	Inova��o. A palavra-chave que caracteriza a ECS
topic	Academia. A Escola de Ciências da Saúde (EC
interviewee	Cecília Le�
role	actual presidente da Escola
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	86
date	Novembro/2010
title	Entrevista Vice-Reitora Graciete Dias
topic	Academia. Entrevista Vice-Reitora Graciete Dias
interviewee	Graciete Dias
role	Vice-reitora para a Qualidade, Avaliação e Ética Acadé
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	86
date	Novembro/2010
title	Entrevista Vice-Reitora Graciete Dias
topic	Academia. Entrevista Vice-Reitora Graciete Dias
interviewee	Graciete Dias
role	Vice-reitora para a Qualidade, Avaliação e Ética Acadé
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	86
date	Novembro/2010
title	A empregabilidade dos nossos alunos � de 100%
topic	Academia. Escola de Engenharia (EEUM)
interviewee	Paulo Pereira
role	presidente da Escola de Engenharia (EEUM)
interviewer	Claudia Fernandes
university	Universidade do Minho
journal	UMdicas
issue	86
date	Novembro/2010
title	A empregabilidade dos nossos alunos � de 100%
topic	Academia. Escola de Engenharia (EEUM)
interviewee	Paulo Pereira
role	presidente da Escola de Engenharia (EEUM)
interviewer	Claudia Fernandes
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Sector de Higiene e Segurança Alimentar dos SASU
topic	Acção Social. mais pormenores sobre este sect
interviewee	Celeste Pereira
role	responsável do Sector de Higiene e Segurança Alimentar dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Sector de Higiene e Segurança Alimentar dos SASU
topic	Acção Social. mais pormenores sobre este sect
interviewee	Celeste Pereira
role	responsável do Sector de Higiene e Segurança Alimentar dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Nuno Costa, a “máquina” de combate da U
topic	Desporto. Taekwondo
interviewee	Nuno Costa
role	aluno da Licenciatura em Arquitectura e atleta TUTORUM
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Nuno Costa, a “máquina” de combate da U
topic	Desporto. Taekwondo
interviewee	Nuno Costa
role	aluno da Licenciatura em Arquitectura e atleta TUTORUM
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Entrevista com a Vice-reitora Margarida Proenç
topic	Academia. Vice-reitora para a área Administrativa e Financeir
interviewee	Margarida Proenç
role	Vice-reitora para a área Administrativa e Financeir
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Entrevista com a Vice-reitora Margarida Proenç
topic	Academia. Vice-reitora para a área Administrativa e Financeir
interviewee	Margarida Proenç
role	Vice-reitora para a área Administrativa e Financeir
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Plano de actividades dos SASUM para 2011, Qualidade na presta��o dos servi�os e aposta nos Recursos Humanos
topic	Ação Social. as grandes linhas estratégias do Plano de Actividades dos SASUM para 2
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Plano de actividades dos SASUM para 2011, Qualidade na presta��o dos servi�os e aposta nos Recursos Humanos
topic	Ação Social. as grandes linhas estratégias do Plano de Actividades dos SASUM para 2
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Entrevista ao Presidente Escola de Economia e Gestão (EEG
topic	Academia. Escola de Economia e Gestão da Universidade do Minh
interviewee	José António Oliveira Roc
role	presidente da Escola de Economia e Gestão (EEG
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	87
date	Dezembro/2010
title	Entrevista ao Presidente Escola de Economia e Gestão (EEG
topic	Academia. Escola de Economia e Gestão da Universidade do Minh
interviewee	José António Oliveira Roc
role	presidente da Escola de Economia e Gestão (EEG
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	88
date	Janeiro/2011
title	Sector de Contabilidade e Gestão de Stocks SASU
topic	Ação Social. Sector de Contabilidade e Gestão de Stocks SA
interviewee	Filipa Oliveira
role	responsável do Sector de Contabilidade e Gestão de Stoks dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	88
date	Janeiro/2011
title	Sector de Contabilidade e Gestão de Stocks SASU
topic	Ação Social. Sector de Contabilidade e Gestão de Stocks SA
interviewee	Filipa Oliveira
role	responsável do Sector de Contabilidade e Gestão de Stoks dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	88
date	Janeiro/2011
title	Entrevista com a Pró-reitora Felisbela Lope
topic	Academia. Entrevista com a Pró-reitora Felisbela Lope
interviewee	Felisbela Lopes
role	Pró-reitora para a Comunicação e Ima
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	88
date	Janeiro/2011
title	Entrevista com a Pró-reitora Felisbela Lope
topic	Academia. Entrevista com a Pró-reitora Felisbela Lope
interviewee	Felisbela Lopes
role	Pró-reitora para a Comunicação e Ima
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	88
date	Janeiro/2011
title	Entrevista ao Presidente do Instituto de Educação (I
topic	Academia. O Instituto de Educação (I
interviewee	Leandro Almeida
role	presidente do Instituto de Educação (I
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	88
date	Janeiro/2011
title	Entrevista ao Presidente do Instituto de Educação (I
topic	Academia. O Instituto de Educação (I
interviewee	Leandro Almeida
role	presidente do Instituto de Educação (I
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	89
date	Fevereiro/2011
title	Nasci e cresci aqui, não fazia sentido escolher outra universidad
topic	Desporto. conhecer um pouco melhor esta atleta TUTORUM
interviewee	Mariana Falcã
role	aluna de Medicina do 1º ano e atleta de voleibol do SCBrag
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	89
date	Fevereiro/2011
title	Nasci e cresci aqui, não fazia sentido escolher outra universidad
topic	Desporto. conhecer um pouco melhor esta atleta TUTORUM
interviewee	Mariana Falcã
role	aluna de Medicina do 1º ano e atleta de voleibol do SCBrag
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	89
date	Fevereiro/2011
title	Entrevista com o Prof. António Cunh
topic	Academia. A UMinho
interviewee	Prof. Doutor António M. Cunh
role	Reitor da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	89
date	Fevereiro/2011
title	Entrevista com o Prof. António Cunh
topic	Academia. A UMinho
interviewee	Prof. Doutor António M. Cunh
role	Reitor da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	89
date	Fevereiro/2011
title	Entrevista ao Presidente do Instituto de Ciências Sociais (ICS
topic	Academia. ICS
interviewee	Miguel Bandeira
role	presidente do Instituto de Ciências Sociais (ICS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	89
date	Fevereiro/2011
title	Entrevista ao Presidente do Instituto de Ciências Sociais (ICS
topic	Academia. ICS
interviewee	Miguel Bandeira
role	presidente do Instituto de Ciências Sociais (ICS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	90
date	Março/201
title	Sector de Segurança (SEG) dos SASU
topic	Acção Social. Sector de Seguran
interviewee	Adelino Silva
role	responsável do Sector de Segurança (SEG) dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	90
date	Março/201
title	Sector de Segurança (SEG) dos SASU
topic	Acção Social. Sector de Seguran
interviewee	Adelino Silva
role	responsável do Sector de Segurança (SEG) dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	90
date	Março/201
title	Bar dos Professores de Gualtar
topic	Acção Social. trabalhar no Departamento Aliment
interviewee	Teresa Soares
role	responsável pelo Bar dos Professore
interviewer	Iolanda Lima
university	Universidade do Minho
journal	UMdicas
issue	90
date	Março/201
title	Bar dos Professores de Gualtar
topic	Acção Social. trabalhar no Departamento Aliment
interviewee	Teresa Soares
role	responsável pelo Bar dos Professore
interviewer	Iolanda Lima
university	Universidade do Minho
journal	UMdicas
issue	90
date	Março/201
title	Entrevista ao Presidente do Conselho Geral da UMinho – Eng.º Luís Braga da 
topic	Academia. Luís Braga da Cru
interviewee	Eng.º Luís Braga da Cr
role	Presidente do Conselho Geral da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	90
date	Março/201
title	Entrevista ao Presidente do Conselho Geral da UMinho – Eng.º Luís Braga da 
topic	Academia. Luís Braga da Cru
interviewee	Eng.º Luís Braga da Cr
role	Presidente do Conselho Geral da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	90
date	Março/201
title	Associação de Estudantes da Escola Superior de Enfermagem Calouste Gulbenki
topic	Academia. AEESECG
interviewee	Paula Alves
role	Presidente da direcç�
interviewer	Mika Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	90
date	Março/201
title	Associação de Estudantes da Escola Superior de Enfermagem Calouste Gulbenki
topic	Academia. AEESECG
interviewee	Paula Alves
role	Presidente da direcç�
interviewer	Mika Ribeiro
university	Universidade do Minho
journal	UMdicas
issue	91
date	Abril/2011
title	Sector de Património dos SASU
topic	Ação Social. Sector de Património dos SA
interviewee	Maria Vaz Saleiro Lima
role	responsável do Sector de Património dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	91
date	Abril/2011
title	Sector de Património dos SASU
topic	Ação Social. Sector de Património dos SA
interviewee	Maria Vaz Saleiro Lima
role	responsável do Sector de Património dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	91
